[DBG] sensorHeight=66.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
0.00 0.00 1.00
0.00 10.00 1.00
0.00 20.00 1.00
0.00 30.00 1.00
0.00 40.00 1.00
0.00 50.00 1.00
0.00 60.00 1.00
0.00 70.00 1.00
0.00 80.00 1.00
0.00 90.00 1.00
0.00 100.00 1.00
0.00 110.00 1.00
0.00 120.00 1.00
0.00 130.00 1.00
0.00 140.00 1.00
0.00 150.00 1.00
0.00 160.00 1.00
0.00 170.00 2.00
0.00 180.00 1.00
0.00 190.00 3.00
0.00 200.00 7.00
0.00 210.00 8.00
0.00 220.00 9.00
0.00 230.00 10.00
0.00 240.00 10.00
0.00 250.00 10.00
0.00 260.00 12.00
0.00 270.00 13.00
0.00 280.00 11.00
0.00 290.00 10.00
0.00 300.00 12.00
0.00 310.00 12.00
0.00 320.00 14.00
0.00 330.00 13.00
0.00 340.00 12.00
0.00 350.00 2.00
0.00 360.00 3.00
0.00 370.00 2.00
0.00 380.00 2.00
0.00 390.00 3.00
0.00 400.00 2.00
0.00 410.00 2.00
0.00 420.00 2.00
0.00 430.00 2.00
0.00 440.00 3.00
0.00 450.00 2.00
0.00 460.00 1.00
0.00 470.00 4.00
0.00 480.00 4.00
0.00 490.00 3.00
0.00 500.00 4.00
10.00 500.00 2.00
10.00 490.00 5.00
10.00 480.00 7.00
10.00 470.00 4.00
10.00 460.00 7.00
10.00 450.00 4.00
10.00 440.00 5.00
10.00 430.00 5.00
10.00 420.00 4.00
10.00 410.00 7.00
10.00 400.00 5.00
10.00 390.00 7.00
10.00 380.00 5.00
10.00 370.00 5.00
10.00 360.00 5.00
10.00 350.00 5.00
10.00 340.00 5.00
10.00 330.00 3.00
10.00 320.00 4.00
10.00 310.00 3.00
10.00 300.00 3.00
10.00 290.00 4.00
10.00 280.00 4.00
10.00 270.00 4.00
10.00 260.00 4.00
10.00 250.00 3.00
10.00 240.00 4.00
10.00 230.00 3.00
10.00 220.00 2.00
10.00 210.00 3.00
10.00 200.00 3.00
10.00 190.00 2.00
10.00 180.00 2.00
10.00 170.00 2.00
10.00 160.00 1.00
10.00 150.00 1.00
10.00 140.00 2.00
10.00 130.00 2.00
10.00 120.00 1.00
10.00 110.00 2.00
10.00 100.00 2.00
10.00 90.00 2.00
10.00 80.00 2.00
10.00 70.00 2.00
10.00 60.00 2.00
10.00 50.00 1.00
10.00 40.00 1.00
10.00 30.00 1.00
10.00 20.00 1.00
10.00 10.00 1.00
10.00 0.00 1.00
20.00 0.00 1.00
20.00 10.00 1.00
20.00 20.00 1.00
20.00 30.00 1.00
20.00 40.00 1.00
20.00 50.00 1.00
20.00 60.00 1.00
20.00 70.00 1.00
20.00 80.00 1.00
20.00 90.00 1.00
20.00 100.00 1.00
20.00 110.00 1.00
20.00 120.00 1.00
20.00 130.00 1.00
20.00 140.00 1.00
20.00 150.00 1.00
20.00 160.00 1.00
20.00 170.00 2.00
20.00 180.00 2.00
20.00 190.00 4.00
20.00 200.00 7.00
20.00 210.00 7.00
20.00 220.00 8.00
20.00 230.00 9.00
20.00 240.00 10.00
20.00 250.00 11.00
20.00 260.00 11.00
20.00 270.00 11.00
20.00 280.00 11.00
20.00 290.00 9.00
20.00 300.00 12.00
20.00 310.00 12.00
20.00 320.00 13.00
20.00 330.00 13.00
20.00 340.00 14.00
20.00 350.00 12.00
20.00 360.00 13.00
20.00 370.00 13.00
20.00 380.00 12.00
20.00 390.00 12.00
20.00 400.00 11.00
20.00 410.00 11.00
20.00 420.00 10.00
20.00 430.00 9.00
20.00 440.00 8.00
20.00 450.00 8.00
20.00 460.00 7.00
20.00 470.00 7.00
20.00 480.00 5.00
20.00 490.00 5.00
20.00 500.00 5.00
30.00 500.00 5.00
30.00 490.00 10.00
30.00 480.00 15.00
30.00 470.00 15.00
30.00 460.00 16.00
30.00 450.00 17.00
30.00 440.00 17.00
30.00 430.00 17.00
30.00 420.00 18.00
30.00 410.00 18.00
30.00 400.00 18.00
30.00 390.00 18.00
30.00 380.00 18.00
30.00 370.00 17.00
30.00 360.00 17.00
30.00 350.00 16.00
30.00 340.00 18.00
30.00 330.00 16.00
30.00 320.00 15.00
30.00 310.00 14.00
30.00 300.00 14.00
30.00 290.00 16.00
30.00 280.00 15.00
30.00 270.00 14.00
30.00 260.00 16.00
30.00 250.00 16.00
30.00 240.00 16.00
30.00 230.00 14.00
30.00 220.00 14.00
30.00 210.00 12.00
30.00 200.00 13.00
30.00 190.00 10.00
30.00 180.00 8.00
30.00 170.00 5.00
30.00 160.00 4.00
30.00 150.00 2.00
30.00 140.00 1.00
30.00 130.00 2.00
30.00 120.00 2.00
30.00 110.00 1.00
30.00 100.00 1.00
30.00 90.00 1.00
30.00 80.00 1.00
30.00 70.00 1.00
30.00 60.00 1.00
30.00 50.00 1.00
30.00 40.00 1.00
30.00 30.00 1.00
30.00 20.00 1.00
30.00 10.00 1.00
30.00 0.00 1.00
40.00 0.00 1.00
40.00 10.00 1.00
40.00 20.00 1.00
40.00 30.00 1.00
40.00 40.00 1.00
40.00 50.00 1.00
40.00 60.00 1.00
40.00 70.00 1.00
40.00 80.00 1.00
40.00 90.00 1.00
40.00 100.00 1.00
40.00 110.00 1.00
40.00 120.00 1.00
40.00 130.00 3.00
40.00 140.00 7.00
40.00 150.00 11.00
40.00 160.00 13.00
40.00 170.00 15.00
40.00 180.00 15.00
40.00 190.00 17.00
40.00 200.00 18.00
40.00 210.00 18.00
40.00 220.00 19.00
40.00 230.00 20.00
40.00 240.00 20.00
40.00 250.00 20.00
40.00 260.00 17.00
40.00 270.00 16.00
40.00 280.00 16.00
40.00 290.00 21.00
40.00 300.00 20.00
40.00 310.00 19.00
40.00 320.00 18.00
40.00 330.00 22.00
40.00 340.00 22.00
40.00 350.00 22.00
40.00 360.00 24.00
40.00 370.00 22.00
40.00 380.00 21.00
40.00 390.00 21.00
40.00 400.00 19.00
40.00 410.00 20.00
40.00 420.00 20.00
40.00 430.00 20.00
40.00 440.00 18.00
40.00 450.00 18.00
40.00 460.00 18.00
40.00 470.00 16.00
40.00 480.00 17.00
40.00 490.00 11.00
40.00 500.00 12.00
50.00 500.00 13.00
50.00 490.00 17.00
50.00 480.00 22.00
50.00 470.00 25.00
50.00 460.00 24.00
50.00 450.00 26.00
50.00 440.00 24.00
50.00 430.00 25.00
50.00 420.00 26.00
50.00 410.00 27.00
50.00 400.00 28.00
50.00 390.00 28.00
50.00 380.00 28.00
50.00 370.00 28.00
50.00 360.00 31.00
